state,x,y
Andhra Pradesh,-68.0 , -129.0
Arunachal Pradesh,165.0 , 114.0
Assam,154.0 , 97.0
Bihar,39.0 , 76.0 
Chattisgarh,-19.0 , -34.0
Goa,-146.0 , -116.0
Gujarat,-187.0 , 29.0
Haryana,-107.0 , 139.0
Himachal Pradesh, -89.0 , 193.0
Jharkhand,34.0 , 40.0
Karnataka,-134.0 , -126.0
Kerala,-107.0 , -203.0
Madhya Pradesh,-79.0 , 28.0
Maharashtra,-148.0 , -42.0
Manipur,190.0 , 65.0
Meghalaya,145.0 , 78.0
Mizoram,175.0 , 40.0
Nagaland,202.0 , 92.0
Odisha,22.0 , -19.0
Punjab,-119.0 , 173.0
Rajasthan,-153.0 , 94.0
Sikkim,98.0 , 113.0
Tamil Nadu,-75.0 , -202.0
Telengana,-59.0 , -63.0
Tripura,153.0 , 44.0
Uttar Pradesh,-39.0 , 100.0
Uttarakhand,-58.0 , 161.0
West Bengal,90.0 , 31.0
Andaman and Nicobar Island,189.0 , -194.0
Ladakh,-90.0 , 237.0
Jammu and Kashmir,-133.0 , 222.0
Lakshadweep,-176.0 , -198.0 

